ZNF382,STAT3,-1
MEF2A,NRF1,1
HDAC2,COL1A2,-1
SMAD4,TNC,1
CDX2,IGFBP3,-1
STAT2,NOS2,1
EGR1,SOD1,1
STAT1,IFNA1,-1
ESR1,KDR,1
SP1,CCND1,1
IRF3,IFNA1,1
RELA,PPARD,-1
SRF,SERPINE1,-1
AR,JUN,1
VDR,IGFBP3,-1
MYC,TP53,1
EP300,BRCA1,1
GATA4,IL5,1
SP1,KDR,-1
EZH2,CCNE1,1
ESR1,AR,1
GATA3,MUC1,1
YBX1,EGFR,1
HES1,ASCL1,-1
YY1,TP53,1
HIF1A,XPC,1
TP53,MMP2,1
USF1,APC,1
BRCA1,HSPA5,-1
ETS2,MMP9,1
CEBPD,CYP19A1,-1
VHL,AR,1
MEF2D,ATF3,1
ZBTB7A,CDKN2A,-1
TP53,TNFRSF10B,1
DNMT1,CXCR4,-1
RELA,ABCA1,-1
TFAP2A,CD82,1
HDAC1,IL2,-1
STAT5A,CCND2,-1
ESRRA,CYP19A1,1
APEX1,CCL2,1
STAT3,LEP,1
STAT3,HSPA4,1
TFAP2A,PTEN,1
MYC,TERT,1
SP1,TNFSF10,-1
STAT3,GAST,1
PAX5,LEF1,1
FOXO3,TNFSF10,1
RB1,DNMT3A,-1
FOXO1,CDKN1B,1
ATF3,MMP2,-1
ILF3,PLAU,1
GLI2,CDH1,-1
EGR1,ATF3,1
SREBF2,HNF4A,-1
SIRT1,MCL1,1
EP300,NR0B2,1
SATB1,CYBB,-1
SP1,VIM,1
IRF1,CCNB1,-1
SNAI1,CDH1,-1
NFKB1,SOD2,1
E2F1,CDKN2A,1
TP53,PMAIP1,1
NFKB1,CFTR,1
SP1,MDM2,1
XBP1,HSPA5,1
MYCN,TP53,1
EGR1,MYB,-1
JUND,CCND1,1
USF1,FOXA2,1
EGR1,FGF2,1
HNF4A,NR1I2,1
ING4,CDKN1A,1
KLF4,VDR,-1
ING4,CDKN1B,1
RELA,COL1A2,-1
TWIST1,TIMP1,-1
HDAC9,TP53,-1
GATA3,CDH1,1
EPAS1,MSC,1
HMGA2,CDH1,1
RARA,HSD17B2,1
GATA3,STAT4,-1
YY1,PCNA,1
RELA,CDK4,1
RELA,CDK6,1
EPAS1,MMP14,1
ETV4,CCND2,1
WT1,MYB,-1
EZH2,PCNA,1
PGR,CYP19A1,-1
RELA,TIMP1,-1
MYC,CXCR4,1
PPARG,RARB,1
ETV4,PTGS2,1
TP53,STAT3,-1
NPM1,CDKN1A,1
TP63,BAX,1
TP53,CDKN1A,1
PBX1,NANOG,1
NR3C1,TP53,-1
NR0B1,NR1H4,-1
CEBPB,XBP1,1
ATF3,IFNG,1
NANOG,CDK6,-1
NR1I2,IL10,1
RELA,CXCL10,1
CTNNB1,MMP14,1
NFKB1,SELE,1
SP1,CCL2,1
NFKB1,FASLG,1
APC,DNMT1,-1
MSX1,HEY1,1
KLF2,CDKN1A,1
TWIST2,NF1,-1
NR5A2,HSD3B2,1
FOSL2,MYB,1
AR,CDH1,-1
UHRF1,PPARG,-1
ESR1,BTG2,-1
STAT1,IRF1,1
JUND,FOSL1,1
STAT1,IRF7,1
VDR,EGFR,-1
STAT1,IRF8,1
BCL6,NFKB1,-1
SP3,LPL,1
E2F1,HMGA1,1
ATM,MCL1,1
RELA,LPL,1
HIF1A,MMP2,-1
PPARG,TP53,1
YBX1,FAS,-1
EGR1,PLAU,1
SP1,CA9,1
GATA4,NPPA,1
FLI1,TERT,1
SP1,SOX9,1
MTA1,PTEN,-1
SMAD7,CDKN1A,-1
ETS2,MDM2,1
PPARA,CYP1A1,1
EAPP,CDKN2A,-1
SREBF1,BCL2L1,-1
RELA,CFLAR,1
GATA6,PLAU,-1
ATF2,TNF,1
SP1,HSD17B2,1
SP3,HBEGF,1
YBX1,SKP2,-1
SNAI2,CD44,1
MITF,BCL2A1,-1
TCF4,MYC,1
HDAC9,NFKB1,-1
FOSL2,BRCA1,1
KLF8,MMP9,1
PITX1,NKX3-1,-1
ATF2,KAT5,-1
ESR1,BCL2,1
JUNB,LOR,-1
NR1I2,NFKB1,-1
ESR1,JUN,1
EGR1,CXCL8,-1
NFKB1,MMP14,1
JUN,ABCB1,1
FOS,MYC,-1
RELA,FASLG,1
REL,SOD2,1
SIRT1,FOXO3,-1
CIITA,COL1A2,-1
USF1,HMOX1,1
SP1,TNC,1
SP1,TNF,1
CEBPB,SLC19A1,1
STAT1,MUC4,1
PML,NR4A1,-1
CREM,DUSP1,-1
PARP1,CDH1,1
SREBF1,NR0B2,1
SIRT1,TP53,-1
JUN,ETS1,1
PAX5,BAX,1
ING4,PTGS2,-1
KAT2B,IRF7,-1
ATF4,DDIT3,1
TWIST2,FOS,1
MYC,IFNA1,-1
ETS2,ICAM1,1
RUNX3,TCF4,1
PPARG,MMP9,-1
HDAC9,HSPA5,-1
SIRT1,TNFRSF10B,-1
MYC,TNFRSF10B,1
EP300,IL12B,1
IRF3,CXCL10,1
SP1,KLK3,1
RELA,MMP14,1
CREB1,NR2F1,-1
WT1,ETS1,1
E2F1,AR,1
SP1,ABCA1,1
IRF1,CYBB,1
JUN,BRCA1,1
RB1,PCNA,-1
NR2F1,SERPINC1,-1
ETS1,MMP13,1
TWIST1,FN1,1
RUNX3,CASP3,1
NR0B1,NR5A1,-1
TCF4,PTEN,-1
SP1,THBD,1
HIC1,MYC,-1
ETS1,MUC4,1
RELA,CCND2,1
TWIST2,RUNX2,-1
HDAC2,TWIST1,-1
YY1,FCER1A,1
HNF4A,MYC,1
ETS2,IL5,1
MYC,FASLG,1
AR,HMOX1,1
SP3,TFF1,1
E2F1,FOXM1,1
NFKB1,CXCL10,1
ESR1,PGR,1
CEBPB,CYP19A1,-1
JUN,IFNG,1
HDAC5,FGF2,-1
SP3,NOS3,1
HDGF,VEGFA,1
RELA,BCL2,1
PITX1,JUN,-1
DDIT3,IL6,1
FOXP3,IL2,-1
CREM,FOS,-1
TP73,TERT,-1
CDX2,PTGS2,-1
GATA3,ZEB1,1
ZNF300,CDKN1A,-1
JUN,NOX5,1
PPARG,PTEN,1
NFKB1,NCAM1,1
NR1H4,NR1I2,1
ESR1,TERT,1
EGR1,TNFSF10,-1
PGR,PTGS2,-1
KLF8,FN1,-1
CEBPE,GATA1,-1
DDIT3,NOS3,-1
PPARG,CSF1,-1
SNAI2,CXCR4,1
TP53,BAX,1
STAT3,ETV6,1
USF1,CIITA,1
MYCN,BAX,1
ING4,TP53,1
TAL1,ERG,1
PROX1,CDKN1B,1
FOXA2,MMP7,1
ING4,CASP3,1
ETS1,TERT,-1
IRF1,IFNB1,1
DNMT1,TNFRSF10B,-1
IRF1,CD40,1
RUNX3,CFLAR,-1
STAT3,ESR2,1
SIRT2,AFP,1
NFKB1,IL1B,1
SNAI1,THBS1,-1
SP1,ALOX5,1
FOXO3,FOXM1,-1
TP53,ATF3,1
CEBPB,CXCL8,1
GATA4,CCND2,1
