,1,2,3,4,5,6,7,8,9,10
G0,14954.57,16012.22,21619.2,13882.45,13312.75,14884.69,15549.49,9265.7,8038.46,42769.14
G1,1152.0,1585.0,692.0,729.0,1084.0,2603.0,459.0,626.0,371.0,1053.13
G2,135.0,112.0,189.0,129.0,131.0,166.0,232.0,165.0,87.0,137.0
G3,52.0,42.0,381.0,196.0,132.0,3.3,990.0,6.0,857.0,8.23
G4,305.0,475.0,419.8,517.92,429.0,1038.67,541.82,749.95,324.0,503.91
G5,1180.0,1080.0,1912.0,1614.0,1320.0,3750.0,1695.0,2042.0,1175.0,4801.0
G6,2.0,7.57,1.0,8.37,2.0,5.94,3.0,5.0,7.0,6.27
G7,175.58,270.0,187.51,232.08,146.0,235.24,300.46,171.0,125.45,206.16
G8,1352.8,1272.0,2062.63,2312.22,1652.09,1399.25,1826.51,1545.59,1962.47,881.2
G9,34.0,54.0,96.0,165.0,83.0,14.0,182.0,349.0,120.0,70.0
G10,2127.0,2893.0,893.0,1567.0,1030.0,586.0,1339.0,561.0,1485.0,856.0
G11,1.22,2.93,3.1,2.0,1.0,30.0,1.65,2.0,7.85,5.0
G12,5.7,8.89,2.1,5.83,4.2,11.25,9.79,8.79,2.47,4.33
G13,581.0,582.0,713.0,691.0,823.0,509.0,686.0,674.0,784.0,727.0
G14,3.0,3.0,4.0,7.0,1.34,1.0,14.0,1.0,1.62,7.95
G15,5096.0,6453.0,2044.0,4235.0,2062.0,1159.0,1273.0,1174.0,1350.0,5431.0
G16,1387.0,1796.67,960.15,2467.51,1249.45,3487.7,2898.55,841.86,903.0,4752.85
G17,276.0,145.0,659.0,1095.05,555.0,103.0,574.0,217.0,414.0,695.0
G18,471.32,691.5,449.38,427.69,510.12,1469.0,421.94,541.71,235.69,359.0
G19,1.0,6.0,2.0,5.0,7.0,21.0,6.0,4.0,5.0,9.0
G20,20.5,8.54,18.48,21.0,13.45,4.8,33.16,45.68,37.8,16.41
G21,7.61,4.78,8.75,9.54,3.93,7.55,6.32,6.32,3.76,4.48
G22,5.0,5.86,9.16,1.19,3.9,8.41,9.2,9.9,2.11,1.0
G23,612.0,172.0,622.0,463.0,352.0,352.0,1098.0,486.0,1360.0,142.0
G24,69.0,36.0,40.0,61.0,51.0,88.0,46.0,180.0,57.0,132.0
G25,2.0,1.18,1.0,4.6,7.8,4.0,2.0,3.55,7.87,2.0
G26,30.0,41.0,78.0,84.0,63.94,41.0,53.0,171.0,55.0,197.0
G27,38.0,56.0,85.0,150.0,85.0,13.0,140.0,54.0,104.0,9.0
G28,961.0,1207.0,737.0,1503.0,1239.0,3707.0,1075.0,1203.0,547.0,757.0
G29,2.0,7.0,16.0,11.0,15.0,407.0,6.0,12.0,5.0,2.0
G30,9.1,9.28,0.7,3.0,3.0,19.07,8.22,24.19,3.0,8.67
G31,191.0,128.0,223.0,239.0,242.0,410.0,333.0,283.0,370.0,283.0
G32,65.0,20.0,35.0,1.0,14.0,24.0,56.0,12.0,8.0,5.0
